Rank,country,Capital,Continent,Area (km²),Yr_1950,Yr_1960,Yr_1970,Yr_1980,Yr_1990,Yr_2000,Yr_2010,Yr_2020,Yr_2023,World Population Percentage
36,Afghanistan,Kabul,Asia,652230,7480461,8622466,10752971,12486631,10694796,19542982,28189672,38972230,42239854,0.52
138,Albania,Tirana,Europe,28748,1252582,1711189,2324731,2941651,3295066,3182021,2913399,2866849,2832439,0.04
34,Algeria,Algiers,Africa,2381741,9019866,11394307,13795915,18739378,25518074,30774621,35856344,43451666,45606480,0.56
213,American Samoa,Pago Pago,Oceania,199,19032,20085,27075,32886,47818,58230,54849,46189,43914,0
203,Andorra,Andorra la Vella,Europe,468,6005,9443,19860,35611,53569,66097,71519,77700,80088,0
42,Angola,Luanda,Africa,1246700,4478184,5357195,6029700,8330047,11828638,16394062,23364185,33428485,36684202,0.45
224,Anguilla,The Valley,North America,91,5017,5752,6283,6560,8316,11047,13172,15585,15899,0
201,Antigua and Barbuda,Saint John’s,North America,442,45435,55342,64516,64888,63328,75055,85695,92664,94298,0
33,Argentina,Buenos Aires,South America,2780400,17017742,20349744,23842803,28024803,32637657,37070774,41100123,45036032,45773884,0.57
140,Armenia,Yerevan,Asia,29743,1385041,1904148,2534377,3135123,3556539,3168523,2946293,2805608,2777970,0.03
198,Aruba,Oranjestad,North America,180,38797,54608,59106,62267,65712,89101,100341,106585,106277,0
55,Australia,Canberra,Oceania,7692024,8177167,10286647,12595034,14706322,17048003,19017963,22019168,25670051,26439111,0.33
99,Austria,Vienna,Europe,83871,6936440,7046553,7465301,7547561,7678729,8010428,8362829,8907777,8958960,0.11
91,Azerbaijan,Baku,Asia,86600,3158966,4131484,5425317,6383060,7427836,8190337,9237202,10284951,10412651,0.13
176,Bahamas,Nassau,North America,13943,81644,114500,179129,223752,270679,325014,373272,406471,412623,0.01
154,Bahrain,Manama,Asia,765,117149,160691,222555,362595,517418,711442,1213645,1477469,1485509,0.02
8,Bangladesh,Dhaka,Asia,147570,39728535,50396429,67541860,83929765,107147651,129193327,148391139,167420951,172954319,2.15
186,Barbados,Bridgetown,North America,430,210548,232550,241397,253575,258868,264657,274711,280693,281995,0
96,Belarus,Minsk,Europe,207600,7906860,8389183,9170786,9817257,10428525,10256483,9731427,9633740,9498238,0.12
81,Belgium,Brussels,Europe,30528,8617344,9108724,9629376,9828986,9959560,10264343,10877947,11561717,11686140,0.15
177,Belize,Belmopan,North America,22966,69116,91403,120905,145133,182589,240406,322106,394921,410825,0.01
77,Benin,Porto-Novo,Africa,112622,2264452,2512284,3023443,3833939,5133419,6998023,9445710,12643123,13712828,0.17
206,Bermuda,Hamilton,North America,54,37142,42026,52019,53565,57470,61371,63447,64031,64069,0
